StateID,StateName,Population,Area,PopulationDensity
41336,Johor,3742200,19984,187.2598078
41325,Kedah,2163700,9426,229.5459368
41367,Kelantan,1856800,14922,124.433722
41401,Kuala Lumpur,1795200,243,7387.654321
41415,Labuan,99200,85,1167.058824
41324,Melaka,922200,1650,558.9090909
41332,Negeri Sembilan,1130100,6645,170.0677201
41335,Pahang,1665700,35964,46.3157602
41330,Perak,2504900,21006,119.2468818
41380,Perlis,253800,821,309.135201
41327,Pulau Pinang,1766800,1046.3,1688.617031
41345,Sabah,3899300,76115,51.22906129
41342,Sarawak,2792000,124450,22.43471274
41326,Selangor,6472400,7956,813.5243841
41361,Terengganu,1230400,12955,94.97491316